,Berita,Tautan
0,FK UNAIR Sambut 31 PPDS Program Hybrid TNI			,https://www.unair.ac.id/fk-unair-sambut-31-ppds-program-hybrid-tni/
1,Dekan FH UNAIR: Pendidikan Hukum Harus Berubah Agar Dapat Mencetak Pemimpin Masa Depan			,https://www.unair.ac.id/dekan-fh-unair-pendidikan-hukum-harus-berubah-agar-dapat-mencetak-pemimpin-masa-depan/
2,"Jalani Hidup Sehat, Ini Yang Perlu Disiapkan 			",https://www.unair.ac.id/jalani-hidup-sehat-ini-yang-perlu-disiapkan/
3,"5 Mahasiswa UNAIR Ikuti Student Exchange dan Konferensi di Thailand, Malaysia, dan Singapura			",https://www.unair.ac.id/5-mahasiswa-unair-ikuti-student-exchange-dan-konferensi-di-thailand-malaysia-dan-singapura/
4,Departemen Komunikasi UNAIR Gelar Kuliah Tamu Kesehatan Mental Remaja			,https://www.unair.ac.id/departemen-komunikasi-unair-gelar-kuliah-tamu-kesehatan-mental-remaja/
5,Waspadai Resistensi Antibiotik Saat Sakit			,https://www.unair.ac.id/waspadai-resistensi-antibiotik-saat-sakit/
6,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric			",https://www.unair.ac.id/kontribusi-terhadap-keberlanjutan-lingkungan-unair-raih-4-trees-rating-dari-ui-greenmetric/
7,"Atasi Stunting, Guru Besar FK UNAIR Berikan Penyuluhan di Puskesmas Arosbaya			",https://www.unair.ac.id/atasi-stunting-guru-besar-fk-unair-berikan-penyuluhan-di-puskesmas-arosbaya/
8,"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak			",https://www.unair.ac.id/dosen-toksikologi-unair-paparkan-toksisitas-etilen-glikol-senyawa-kimia-yang-diduga-penyebab-gagal-ginjal-akut-pada-anak/
9,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara			",https://www.unair.ac.id/mawapres-fk-unair-sebulan-borong-4-gelar-juara/
10,"Semakin Masif, Komunikasi Capres Harus Hindari Politik Identitas			",https://www.unair.ac.id/semakin-masif-komunikasi-capres-harus-hindari-politik-identitas/
11,Mahasiswa FKp UNAIR Sabet Juara I Cerdas Cermat NSF Brawijaya			,https://www.unair.ac.id/mahasiswa-fkp-unair-sabet-juara-i-cerdas-cermat-nsf-brawijaya/
12,Dua Mahasiswa FISIP UNAIR Masuk Nominasi Festival Film Indonesia 2022			,https://www.unair.ac.id/dua-mahasiswa-fisip-unair-masuk-nominasi-festival-film-indonesia-2022/
13,SDGs Center UNAIR Gelar Workshop Peningkatan Reputasi dan Kualitas Impact			,https://www.unair.ac.id/sdgs-center-unair-gelar-workshop-peningkatan-reputasi-dan-kualitas-impact/
14,"Gagas Inkubator Telur Ikan Bawal Tawar, Mahasiswa UNAIR Raih Juara II Lomba Inovasi Akuakultur Tingkat Nasional			",https://www.unair.ac.id/gagas-inkubator-telur-ikan-bawal-tawar-mahasiswa-unair-raih-juara-ii-lomba-inovasi-akuakultur-tingkat-nasional/
