product_name,product_price
OCTOPATH TRAVELER II PS4＆PS5 (English/Chinese/Korean/Japanese Ver.),"Rp 749,000"
Forspoken (English/Chinese/Korean/Japanese Ver.),"Rp 1,029,000"
ONE PIECE ODYSSEY Deluxe Edition PS4 & PS5 (incl.Indonesian） (Game),"Rp 1,079,000"
"ONE PIECE ODYSSEY PS4 & PS5  (incl.Indonesian） (English, Thai, Japanese)","Rp 749,000"
"CRISIS CORE –FINAL FANTASY VII– REUNION PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 649,000"
"Romancing SaGa -Minstrel Song- Remastered PS4 & PS5 (English, Japanese)","Rp 349,000"
"Tactics Ogre: Reborn (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 649,000"
"STAR OCEAN THE DIVINE FORCE (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 749,000"
The Legend of Heroes: Kuro no Kiseki Ⅱ -CRIMSON SiN- (PS4 & PS5) (Traditional Chinese),"Rp 829,000"
"Eternal Kingdom Battle Peak (English, Japanese)",Free
"Mount & Blade II: Bannerlord (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 699,000"
"Mount & Blade II: Bannerlord (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 699,000"
Persona 5 Royal (English),"Rp 798,000"
"Persona 5 the Royal (Simplified Chinese, Korean, Traditional Chinese)","Rp 798,000"
"Batora: Lost Haven (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Beastie Bay DX (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 186,000"
"The Last Oricru (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 526,000"
"The Witch's House MV (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 199,000"
"Asterigos: Curse of the Stars (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 479,000"
"Medieval Dynasty (Simplified Chinese, English, Korean, Japanese)","Rp 479,000"
Digital Deluxe Upgrade (En/Jp Ver.) (Add-On),Unavailable
Digital Deluxe Upgrade (zh/Ko Ver.) (Add-On),Unavailable
"Pathfinder: Wrath of the Righteous (Simplified Chinese, English)","Rp 699,000"
"VALKYRIE ELYSIUM PS4&PS5  (En/Jp Ver.) (English, Japanese)","Rp 749,000"
"VALKYRIE ELYSIUM PS4&PS5 (zh/Ko Ver.) (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 749,000"
Mass Effect™: Andromeda (English/Korean/Japanese Ver.),Unavailable
"FINAL SWORD (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Watcher Chronicles (Simplified Chinese, English, Korean, Japanese)","Rp 139,000"
"Watcher Chronicles (Simplified Chinese, English, Korean, Japanese)","Rp 139,000"
"Dungeon and Gravestone (English, Japanese, Traditional Chinese)","Rp 479,000"
Engine collection (English),"Rp 69,000"
"The DioField Chronicle PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 749,000"
"The DioField Chronicle PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 749,000"
"Jack Move (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Kingdom of Paradise (Traditional Chinese),"Rp 139,000"
"VARIOUS DAYLIFE (Simplified Chinese, Korean, Traditional Chinese)","Rp 419,000"
Crystal Ortha (English),"Rp 198,000"
"Skyrim Anniversary Edition + Fallout 4 G.O.T.Y Bundle (Simplified Chinese, English, Traditional Chinese)","Rp 1,063,000"
"The Elder Scrolls V: Skyrim Anniversary Edition - PS5 & PS4 (Simplified Chinese, English, Traditional Chinese)","Rp 665,000"
"The Elder Scrolls V: Skyrim Special Edition - PS5 & PS4 (Simplified Chinese, English, Traditional Chinese)","Rp 532,000"
Unexplored 2: The Wayfarer's Legacy (English),"Rp 349,000"
